row,cell,family,iteration,rank,node,why,span_ms,gemm_ms,nic_ms,nvlink_ms,reduce_ms,wait_ms
"Efficient / COMET, overlapped",l01_allgather_dense_nogate_c8,"{""dslots"": ""64:32"", ""layer"": 5, ""model"": ""Kimi-K2"", ""pools"": ""livecodebench/execution"", ""sem"": ""homog""}",iter4,0,0,longest expert GEMM,54.15,32.96,31.89,8.8,20.51,6.78
"Efficient / COMET, overlapped",l01_allgather_dense_nogate_c8,"{""dslots"": ""64:32"", ""layer"": 5, ""model"": ""Kimi-K2"", ""pools"": ""livecodebench/execution"", ""sem"": ""homog""}",iter4,15,3,shortest expert GEMM,54.08,23.82,26.51,8.81,23.62,12.41
Efficient / overlapped swap,ours_l01_s2_swap_p2p_t1_r2,"{""dslots"": ""64:32"", ""layer"": 5, ""model"": ""Kimi-K2"", ""pools"": ""livecodebench/execution"", ""sem"": ""homog""}",iter4,8,2,longest expert GEMM,47.82,28.82,20.51,7.08,28.08,2.84
Efficient / overlapped swap,ours_l01_s2_swap_p2p_t1_r2,"{""dslots"": ""64:32"", ""layer"": 5, ""model"": ""Kimi-K2"", ""pools"": ""livecodebench/execution"", ""sem"": ""homog""}",iter4,3,0,shortest expert GEMM,47.8,24.12,17.71,7.34,25.89,6.88
Efficient / sequential swap,ablation_l01_s2_swap_t1_noov_p2p_r2,"{""dslots"": ""64:32"", ""layer"": 5, ""model"": ""Kimi-K2"", ""pools"": ""livecodebench/execution"", ""sem"": ""homog""}",iter4,9,2,longest expert GEMM,47.42,27.93,19.28,18.87,28.37,3.79
Efficient / sequential swap,ablation_l01_s2_swap_t1_noov_p2p_r2,"{""dslots"": ""64:32"", ""layer"": 5, ""model"": ""Kimi-K2"", ""pools"": ""livecodebench/execution"", ""sem"": ""homog""}",iter4,14,3,shortest expert GEMM,47.4,25.13,21.04,9.39,26.82,6.67
Efficient / equal-split routing,ablation_l01_s2_swap_t1_esplit_p2p_r2,"{""dslots"": ""64:32"", ""layer"": 5, ""model"": ""Kimi-K2"", ""pools"": ""livecodebench/execution"", ""sem"": ""homog""}",iter4,8,2,longest expert GEMM,50.38,29.3,24.11,7.65,28.69,2.56
Efficient / equal-split routing,ablation_l01_s2_swap_t1_esplit_p2p_r2,"{""dslots"": ""64:32"", ""layer"": 5, ""model"": ""Kimi-K2"", ""pools"": ""livecodebench/execution"", ""sem"": ""homog""}",iter4,2,0,shortest expert GEMM,50.4,26.87,23.4,9.29,26.8,3.02
"Skewed / COMET, overlapped",l01_allgather_dense_nogate_c8,"{""dslots"": ""64:32"", ""dwell"": 4.0, ""layer"": 5, ""model"": ""Kimi-K2"", ""opool"": ""livecodebench/execution+mmlu/clinical_knowledge+mmlu/college_mathematics+mmlu/electrical_engineering+mmlu/high_school_psychology+mmlu/high_school_world_history+mmlu/philosophy"", ""pools"": ""livecodebench/execution"", ""sched"": ""livecodebench/execution+mmlu/clinical_knowledge+mmlu/college_mathematics+mmlu/electrical_engineering+mmlu/high_school_psychology+mmlu/high_school_world_history+mmlu/philosophy+mmlu/professional_law"", ""sem"": ""homog""}",iter33,3,0,longest expert GEMM,56.41,42.55,26.02,8.84,33.41,2.59
"Skewed / COMET, overlapped",l01_allgather_dense_nogate_c8,"{""dslots"": ""64:32"", ""dwell"": 4.0, ""layer"": 5, ""model"": ""Kimi-K2"", ""opool"": ""livecodebench/execution+mmlu/clinical_knowledge+mmlu/college_mathematics+mmlu/electrical_engineering+mmlu/high_school_psychology+mmlu/high_school_world_history+mmlu/philosophy"", ""pools"": ""livecodebench/execution"", ""sched"": ""livecodebench/execution+mmlu/clinical_knowledge+mmlu/college_mathematics+mmlu/electrical_engineering+mmlu/high_school_psychology+mmlu/high_school_world_history+mmlu/philosophy+mmlu/professional_law"", ""sem"": ""homog""}",iter33,7,1,shortest expert GEMM,56.43,24.55,29.96,8.82,21.93,15.47
