row,cell,family,iteration,rank,node,why,span_ms,gemm_ms,nic_ms,nvlink_ms,reduce_ms,wait_ms
"Efficient / COMET, overlapped",l01_allgather_dense_nogate_c8,"{""dslots"": ""64:32"", ""layer"": 5, ""model"": ""Kimi-K2"", ""pools"": ""livecodebench/execution"", ""sem"": ""homog""}",iter4,4,1,longest expert GEMM,53.14,31.93,28.64,8.77,30.07,5.78
"Efficient / COMET, overlapped",l01_allgather_dense_nogate_c8,"{""dslots"": ""64:32"", ""layer"": 5, ""model"": ""Kimi-K2"", ""pools"": ""livecodebench/execution"", ""sem"": ""homog""}",iter4,8,2,shortest expert GEMM,53.21,22.78,30.35,8.81,20.79,11.05
Efficient / swap in host gap,ablation_l01_s2_swapall_rst_3d_early_str4_prs_p2p_r2,"{""dslots"": ""64:32"", ""layer"": 5, ""model"": ""Kimi-K2"", ""pools"": ""livecodebench/execution"", ""sem"": ""homog""}",iter4,9,2,longest expert GEMM,43.57,25.08,18.51,19.1,24.18,3.81
Efficient / swap in host gap,ablation_l01_s2_swapall_rst_3d_early_str4_prs_p2p_r2,"{""dslots"": ""64:32"", ""layer"": 5, ""model"": ""Kimi-K2"", ""pools"": ""livecodebench/execution"", ""sem"": ""homog""}",iter4,0,0,shortest expert GEMM,43.48,22.9,19.92,7.42,22.57,1.77
Efficient / sequential swap,ablation_l01_s2_swapall_rst_3d_noov_str4_prs_p2p_r2,"{""dslots"": ""64:32"", ""layer"": 5, ""model"": ""Kimi-K2"", ""pools"": ""livecodebench/execution"", ""sem"": ""homog""}",iter4,13,3,longest expert GEMM,43.85,25.67,19.14,14.65,23.84,1.94
Efficient / sequential swap,ablation_l01_s2_swapall_rst_3d_noov_str4_prs_p2p_r2,"{""dslots"": ""64:32"", ""layer"": 5, ""model"": ""Kimi-K2"", ""pools"": ""livecodebench/execution"", ""sem"": ""homog""}",iter4,1,0,shortest expert GEMM,43.78,22.52,20.79,14.35,22.99,2.97
Efficient / 3D-scheduled swap,ablation_l01_s2_swapall_rst_3d_dual3_str4_prs_p2p_r2,"{""dslots"": ""64:32"", ""layer"": 5, ""model"": ""Kimi-K2"", ""pools"": ""livecodebench/execution"", ""sem"": ""homog""}",iter4,9,2,longest expert GEMM,42.63,24.81,20.73,19.73,23.49,3.51
Efficient / 3D-scheduled swap,ablation_l01_s2_swapall_rst_3d_dual3_str4_prs_p2p_r2,"{""dslots"": ""64:32"", ""layer"": 5, ""model"": ""Kimi-K2"", ""pools"": ""livecodebench/execution"", ""sem"": ""homog""}",iter4,3,0,shortest expert GEMM,42.59,22.37,19.39,7.76,22.18,3.47
Efficient / swap under l0 GEMM,ablation_l01_s2_swapall_rst_3d_late3_str4_prs_p2p_r2,"{""dslots"": ""64:32"", ""layer"": 5, ""model"": ""Kimi-K2"", ""pools"": ""livecodebench/execution"", ""sem"": ""homog""}",iter4,8,2,longest expert GEMM,42.8,25.26,19.52,7.04,24.82,1.54
Efficient / swap under l0 GEMM,ablation_l01_s2_swapall_rst_3d_late3_str4_prs_p2p_r2,"{""dslots"": ""64:32"", ""layer"": 5, ""model"": ""Kimi-K2"", ""pools"": ""livecodebench/execution"", ""sem"": ""homog""}",iter4,1,0,shortest expert GEMM,42.74,22.99,19.73,14.91,22.73,2.75
